From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
vectorbase:ASIS007148	A0A084W971	unreviewed	A0A084W971_ANOSI	Apyrase	ZHAS_00014767	Anopheles sinensis (Mosquito)	564	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ASIS007148	A0A084W973	unreviewed	A0A084W973_ANOSI	AGAP011026-PA-like protein	ZHAS_00014769	Anopheles sinensis (Mosquito)	570	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ASIS007148	A0A084W9A9	unreviewed	A0A084W9A9_ANOSI	Apyrase	ZHAS_00014809	Anopheles sinensis (Mosquito)	443	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:AALB009922	A0A182FTN8	unreviewed	A0A182FTN8_ANOAL	Apyrase		Anopheles albimanus (New world malaria mosquito)	568	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ADAC007226	W5JE01	unreviewed	W5JE01_ANODA	5' nucleotidase (Apyrase)	AND_007226	Anopheles darlingi (Mosquito)	567	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ASTE008470	A0A182YBN1	unreviewed	A0A182YBN1_ANOST	Apyrase		Anopheles stephensi (Indo-Pakistan malaria mosquito)	883	nucleotide catabolic process [GO:0009166]	membrane [GO:0016020]	membrane [GO:0016020]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0016020; GO:0046872			
vectorbase:ACHR000919	A0A182JQY7	unreviewed	A0A182JQY7_9DIPT	Apyrase		Anopheles christyi	521	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:AEPI000215	A0A182NZY4	unreviewed	A0A182NZY4_9DIPT	Apyrase		Anopheles epiroticus	876	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:AGAP011971	O97412	unreviewed	O97412_ANOGA	Apyrase (EC 3.6.1.5)	apy	Anopheles gambiae (African malaria mosquito)	81	nucleotide catabolic process [GO:0009166]		hydrolase activity [GO:0016787]; nucleotide catabolic process [GO:0009166]	hydrolase activity [GO:0016787]	GO:0009166; GO:0016787			
vectorbase:AGAP011971	Q7PZL5	unreviewed	Q7PZL5_ANOGA	AGAP011971-PA (Ser/Thr protein phosphatase/nucleotidase)	1280699 AgaP_AGAP011971	Anopheles gambiae (African malaria mosquito)	558	AMP catabolic process [GO:0006196]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; 5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; AMP catabolic process [GO:0006196]	5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	GO:0000166; GO:0005886; GO:0006196; GO:0008253; GO:0046872			
vectorbase:AGAP011971	Q9TW03	unreviewed	Q9TW03_ANOGA	Apyrase (Putative apyrase (EC 3.6.1.5))	apy	Anopheles gambiae (African malaria mosquito)	557	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:AMIN004390	A0A182W230	unreviewed	A0A182W230_9DIPT	Apyrase		Anopheles minimus	880	nucleotide catabolic process [GO:0009166]	membrane [GO:0016020]	membrane [GO:0016020]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0016020; GO:0046872			
vectorbase:ACUA012978	A0A0M3SU08	unreviewed	A0A0M3SU08_9DIPT	Apyrase		Anopheles culicifacies	567	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ACUA012978	A0A182M9S1	unreviewed	A0A182M9S1_9DIPT	Apyrase		Anopheles culicifacies	574	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ADIR001999	A0A182N2Y7	unreviewed	A0A182N2Y7_9DIPT	Apyrase		Anopheles dirus	711	nucleotide catabolic process [GO:0009166]	membrane [GO:0016020]	membrane [GO:0016020]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0016020; GO:0046872			
vectorbase:AATE008433	A0A182IZF7	unreviewed	A0A182IZF7_9DIPT	Apyrase		Anopheles atroparvus	555	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ADAC004611	A0A2M4CPF5	unreviewed	A0A2M4CPF5_ANODA	Putative apyrase		Anopheles darlingi (Mosquito)	532	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:ADAC004611	W5JLL6	unreviewed	W5JLL6_ANODA	Apyrase	AND_004611	Anopheles darlingi (Mosquito)	554	nucleotide catabolic process [GO:0009166]	cellular anatomical entity [GO:0110165]	cellular anatomical entity [GO:0110165]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]; nucleotide catabolic process [GO:0009166]	metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	GO:0000166; GO:0008252; GO:0009166; GO:0046872; GO:0110165			
vectorbase:AALB005741	A0A182FGU8	unreviewed	A0A182FGU8_ANOAL	Secreted protein		Anopheles albimanus (New world malaria mosquito)	522								
vectorbase:AATE019916	A0A182JKS9	unreviewed	A0A182JKS9_9DIPT	Secreted protein		Anopheles atroparvus	519								
vectorbase:ASIS012753	A0A084WDD7	unreviewed	A0A084WDD7_ANOSI	Putative 53.7 kDa salivary protein	ZHAS_00016352	Anopheles sinensis (Mosquito)	519								
vectorbase:AMEM018002	A0A182VNJ6	unreviewed	A0A182VNJ6_ANOME	Secreted protein		Anopheles merus (Mosquito)	516								
vectorbase:ASTE007423	A0A182YJA2	unreviewed	A0A182YJA2_ANOST	Secreted protein		Anopheles stephensi (Indo-Pakistan malaria mosquito)	516								
vectorbase:ASTE007423	Q8I6Q6	unreviewed	Q8I6Q6_ANOST	Putative 53.7 kDa salivary protein		Anopheles stephensi (Indo-Pakistan malaria mosquito)	516								
vectorbase:AEPI006718	A0A182PIF6	unreviewed	A0A182PIF6_9DIPT	Secreted protein		Anopheles epiroticus	515								
vectorbase:AFUN000965	A0A182R473	unreviewed	A0A182R473_ANOFN	Secreted protein		Anopheles funestus (African malaria mosquito)	515								
vectorbase:AMIN011164	A0A182WL85	unreviewed	A0A182WL85_9DIPT	Secreted protein		Anopheles minimus	515								
vectorbase:ACUA027649	A0A182MW18	unreviewed	A0A182MW18_9DIPT	Secreted protein		Anopheles culicifacies	515								
vectorbase:AQUA011055	A0A182XMF9	unreviewed	A0A182XMF9_ANOQN	Secreted protein		Anopheles quadriannulatus (Mosquito)	514								
vectorbase:ACHR005317	A0A182K3I2	unreviewed	A0A182K3I2_9DIPT	Secreted protein		Anopheles christyi	514								
vectorbase:ADIR007794	A0A182NJH0	unreviewed	A0A182NJH0_9DIPT	Secreted protein		Anopheles dirus	514								
vectorbase:AGAP005822	Q7PIM5	unreviewed	Q7PIM5_ANOGA	AGAP005822-PA	1276489 AgaP_AGAP005822	Anopheles gambiae (African malaria mosquito)	513								
vectorbase:AARA007686	A0A182I289	unreviewed	A0A182I289_ANOAR	Secreted protein		Anopheles arabiensis (Mosquito)	513								
vectorbase:AMEC005302	A0A182TN24	unreviewed	A0A182TN24_9DIPT	Secreted protein		Anopheles melas	513								
vectorbase:AGAP000610	F7IW82	unreviewed	F7IW82_ANOGA	AGAP000610-PA (Salivary gland protein 1-like 6)	4576032 AgaP_AGAP000610	Anopheles gambiae (African malaria mosquito)	431								
vectorbase:AGAP000610	L7ZER0	unreviewed	L7ZER0_ANOGA	SAGLIN		Anopheles gambiae (African malaria mosquito)	373								
vectorbase:AGAP000610	L7ZES6	unreviewed	L7ZES6_ANOGA	SAGLIN		Anopheles gambiae (African malaria mosquito)	372								
vectorbase:AGAP000610	L7ZEX6	unreviewed	L7ZEX6_ANOGA	SAGLIN		Anopheles gambiae (African malaria mosquito)	373								
vectorbase:AGAP000610	L7ZF80	unreviewed	L7ZF80_ANOGA	SAGLIN		Anopheles gambiae (African malaria mosquito)	373								
vectorbase:AGAP000610	L7ZGW9	unreviewed	L7ZGW9_ANOGA	SAGLIN		Anopheles gambiae (African malaria mosquito)	373								
vectorbase:AGAP000610	O76814	unreviewed	O76814_ANOGA	D3 protein	D3	Anopheles gambiae (African malaria mosquito)	94								
vectorbase:AGAP000610	Q2TLV8	unreviewed	Q2TLV8_ANOGA	SAGLIN		Anopheles gambiae (African malaria mosquito)	412								
vectorbase:AMEC009308	A0A182TW12	unreviewed	A0A182TW12_9DIPT	Sg1d-like salivary protein		Anopheles melas	431								
vectorbase:AALB006536	A0A182FJ41	unreviewed	A0A182FJ41_ANOAL	Secreted protein		Anopheles albimanus (New world malaria mosquito)	428								
vectorbase:AFAF017561	A0A182QV89	unreviewed	A0A182QV89_9DIPT	PCI domain-containing protein		Anopheles farauti	842								
vectorbase:AATE006576	A0A182IW24	unreviewed	A0A182IW24_9DIPT	G_PROTEIN_RECEP_F1_2 domain-containing protein		Anopheles atroparvus	1229		membrane [GO:0016020]	membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]	G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016020			
vectorbase:AGAP000611	L7Z8U1	unreviewed	L7Z8U1_ANOGA	GSG1a		Anopheles gambiae (African malaria mosquito)	115								
vectorbase:AGAP000611	L7Z8V6	unreviewed	L7Z8V6_ANOGA	GSG1a		Anopheles gambiae (African malaria mosquito)	115								
vectorbase:AGAP000611	L7ZDF1	unreviewed	L7ZDF1_ANOGA	GSG1a		Anopheles gambiae (African malaria mosquito)	115								
vectorbase:AGAP000611	L7ZEU0	unreviewed	L7ZEU0_ANOGA	GSG1a		Anopheles gambiae (African malaria mosquito)	115								
vectorbase:AGAP000611	L7ZF65	unreviewed	L7ZF65_ANOGA	GSG1a		Anopheles gambiae (African malaria mosquito)	115								
vectorbase:AGAP000611	L7ZGX7	unreviewed	L7ZGX7_ANOGA	GSG1a		Anopheles gambiae (African malaria mosquito)	115								
vectorbase:AGAP000611	Q7QFP9	unreviewed	Q7QFP9_ANOGA	AGAP000611-PA (Salivary gland protein 1-like 4)	1271621 AgaP_AGAP000611	Anopheles gambiae (African malaria mosquito)	415								
vectorbase:AGAP000611	Q8WR32	unreviewed	Q8WR32_ANOGA	Salivary gland 1-like 4 protein		Anopheles gambiae (African malaria mosquito)	161								
vectorbase:AGAP000611	Q9BII1	unreviewed	Q9BII1_ANOGA	GSG1a protein		Anopheles gambiae (African malaria mosquito)	90								
vectorbase:AMEM009376	A0A182V5W1	unreviewed	A0A182V5W1_ANOME	Secreted protein		Anopheles merus (Mosquito)	430								
vectorbase:AMEM009376	L7ZF05	unreviewed	L7ZF05_ANOME	GSG1a		Anopheles merus (Mosquito)	115								
vectorbase:AMEC001365	A0A182TFG7	unreviewed	A0A182TFG7_9DIPT	Secreted protein		Anopheles melas	415								
vectorbase:AMAM020016	A0A182T5H0	unreviewed	A0A182T5H0_9DIPT	Sg1d-like salivary protein		Anopheles maculatus	430								
vectorbase:AATE009065	A0A182J0K7	unreviewed	A0A182J0K7_9DIPT	Secreted protein		Anopheles atroparvus	410								
vectorbase:AFUN000976	A0A182R484	unreviewed	A0A182R484_ANOFN	SG1B		Anopheles funestus (African malaria mosquito)	427								
vectorbase:ADIR000836	A0A182MZN1	unreviewed	A0A182MZN1_9DIPT	Secreted protein		Anopheles dirus	408								
vectorbase:AEPI010121	A0A182PT35	unreviewed	A0A182PT35_9DIPT	Secreted protein		Anopheles epiroticus	408								
vectorbase:ACUA008645	A0A182M3M0	unreviewed	A0A182M3M0_9DIPT	Secreted protein		Anopheles culicifacies	407								
vectorbase:ASIS009062	A0A084VLI8	unreviewed	A0A084VLI8_ANOSI	SG1B-like salivary protein	ZHAS_00006318	Anopheles sinensis (Mosquito)	343								
vectorbase:ASIS009062	A0A084VLI9	unreviewed	A0A084VLI9_ANOSI	SG1B-like salivary protein	ZHAS_00006319	Anopheles sinensis (Mosquito)	746								
vectorbase:ASIS009062	A0A084VLJ0	unreviewed	A0A084VLJ0_ANOSI	SG1D salivary protein	ZHAS_00006320	Anopheles sinensis (Mosquito)	469								
vectorbase:AFAF011466	A0A182QJG7	unreviewed	A0A182QJG7_9DIPT	G_PROTEIN_RECEP_F1_2 domain-containing protein		Anopheles farauti	874		membrane [GO:0016020]	membrane [GO:0016020]; G protein-coupled receptor activity [GO:0004930]	G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016020			
vectorbase:ADAC009580	A0A2M4DPF6	unreviewed	A0A2M4DPF6_ANODA	Putative 41 kDa family salivary secreted protein		Anopheles darlingi (Mosquito)	406								
vectorbase:ADAC009580	B6DE41	unreviewed	B6DE41_ANODA	Putative 41.9 kDa basic salivary protein		Anopheles darlingi (Mosquito)	173								
vectorbase:ADAC009580	B6DE50	unreviewed	B6DE50_ANODA	Putative 41.9 kDa basic salivary protein		Anopheles darlingi (Mosquito)	139								
vectorbase:ADAC009580	B6DE54	unreviewed	B6DE54_ANODA	41 kDa family salivary secreted protein		Anopheles darlingi (Mosquito)	406								
vectorbase:ADAC009580	W5J601	unreviewed	W5J601_ANODA	41 kDa family salivary secreted protein	AND_009580	Anopheles darlingi (Mosquito)	406								
vectorbase:ASTE006148	A0A182Y7N5	unreviewed	A0A182Y7N5_ANOST	SG1D salivary protein		Anopheles stephensi (Indo-Pakistan malaria mosquito)	404								
vectorbase:ASTE006148	Q86M90	unreviewed	Q86M90_ANOST	SG1D salivary protein		Anopheles stephensi (Indo-Pakistan malaria mosquito)	404								
vectorbase:ADIR000835	A0A182MZN0	unreviewed	A0A182MZN0_9DIPT	Lipoprotein		Anopheles dirus	403								
vectorbase:AALB002999	A0A182F925	unreviewed	A0A182F925_ANOAL	Secreted protein		Anopheles albimanus (New world malaria mosquito)	402								
vectorbase:ADIR002000	A0A182N2Y8	unreviewed	A0A182N2Y8_9DIPT	AB hydrolase-1 domain-containing protein		Anopheles dirus	401			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824			
vectorbase:AGAP000612	O97407	unreviewed	O97407_ANOGA	SG1 protein	SG1	Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AGAP000612	Q7QFQ0	unreviewed	Q7QFQ0_ANOGA	AGAP000612-PA (Salivary gland protein 1)	1271620 AgaP_AGAP000612	Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AGAP000612	Q9UB33	unreviewed	Q9UB33_ANOGA	GSG1 protein	gSG1	Anopheles gambiae (African malaria mosquito)	153								
vectorbase:AMEC011338	A0A182TZU0	unreviewed	A0A182TZU0_9DIPT	Secreted protein		Anopheles melas	401								
vectorbase:AMAM000239	A0A182S5U9	unreviewed	A0A182S5U9_9DIPT	Secreted protein		Anopheles maculatus	401								
vectorbase:AGAP000609	L7Z8Q6	unreviewed	L7Z8Q6_ANOGA	SG1-2		Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AGAP000609	L7Z8T6	unreviewed	L7Z8T6_ANOGA	SG1-2		Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AGAP000609	L7ZDD5	unreviewed	L7ZDD5_ANOGA	SG1-2		Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AGAP000609	L7ZER7	unreviewed	L7ZER7_ANOGA	SG1-2		Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AGAP000609	L7ZEV1	unreviewed	L7ZEV1_ANOGA	SG1-2		Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AGAP000609	L7ZF26	unreviewed	L7ZF26_ANOGA	SG1-2		Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AGAP000609	L7ZGU5	unreviewed	L7ZGU5_ANOGA	SG1-2		Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AGAP000609	L7ZGX4	unreviewed	L7ZGX4_ANOGA	SG1-2		Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AGAP000609	O97415	unreviewed	O97415_ANOGA	SG1-2		Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AGAP000609	Q7PRT6	unreviewed	Q7PRT6_ANOGA	AGAP000609-PA (SG1-2) (Salivary gland protein 1-like 5)	1271623 AgaP_AGAP000609	Anopheles gambiae (African malaria mosquito)	401								
vectorbase:AMEC003760	A0A182TK40	unreviewed	A0A182TK40_9DIPT	SG1-2		Anopheles melas	401								
vectorbase:ACHR008629	A0A182KCZ2	unreviewed	A0A182KCZ2_9DIPT	41 kDa salivary secreted protein		Anopheles christyi	400								
vectorbase:AGAP011913	A7UVF6	unreviewed	A7UVF6_ANOGA	AGAP011913-PA	5667996 AgaP_AGAP011913	Anopheles gambiae (African malaria mosquito)	399	proteolysis [GO:0006508]		serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0006508			
vectorbase:AEPI000214	A0A182NZY3	unreviewed	A0A182NZY3_9DIPT	AB hydrolase-1 domain-containing protein		Anopheles epiroticus	398			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824			
vectorbase:AFAF007943	A0A182QDF1	unreviewed	A0A182QDF1_9DIPT	AB hydrolase-1 domain-containing protein		Anopheles farauti	398			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824			
vectorbase:AGAP011914	Q5TMQ6	unreviewed	Q5TMQ6_ANOGA	AGAP011914-PA	3291452 AgaP_AGAP011914	Anopheles gambiae (African malaria mosquito)	398	proteolysis [GO:0006508]		serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0006508			
vectorbase:AFUN000975	A0A182R483	unreviewed	A0A182R483_ANOFN	Secreted protein		Anopheles funestus (African malaria mosquito)	398								
vectorbase:AGAP011970	A0A1S4H804	unreviewed	A0A1S4H804_ANOGA	Abhydrolase domain-containing protein 7		Anopheles gambiae (African malaria mosquito)	397			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824			
vectorbase:AGAP011970	Q7PV09	unreviewed	Q7PV09_ANOGA	AGAP011970-PA	AgaP_AGAP011970	Anopheles gambiae (African malaria mosquito)	340			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787			
vectorbase:AQUA010061	A0A182XJM7	unreviewed	A0A182XJM7_ANOQN	AB hydrolase-1 domain-containing protein		Anopheles quadriannulatus (Mosquito)	397			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824			
vectorbase:AMEM010232	A0A182V7L2	unreviewed	A0A182V7L2_ANOME	AB hydrolase-1 domain-containing protein		Anopheles merus (Mosquito)	397			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824			
vectorbase:AMEC008013	A0A182TTF5	unreviewed	A0A182TTF5_9DIPT	AB hydrolase-1 domain-containing protein		Anopheles melas	317			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824			
vectorbase:ACHR000918	A0A182JQY6	unreviewed	A0A182JQY6_9DIPT	AB hydrolase-1 domain-containing protein		Anopheles christyi	347			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824			
vectorbase:AATE002302	A0A182IN78	unreviewed	A0A182IN78_9DIPT	AB hydrolase-1 domain-containing protein		Anopheles atroparvus	397			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824			
vectorbase:ASTE007348	A0A182Y9H0	unreviewed	A0A182Y9H0_ANOST	Cub domain serine protease		Anopheles stephensi (Indo-Pakistan malaria mosquito)	396	proteolysis [GO:0006508]		serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0006508			
vectorbase:AFAF018279	A0A182QWI9	unreviewed	A0A182QWI9_9DIPT	Protein kinase domain-containing protein		Anopheles farauti	853								
vectorbase:ACHR000557	A0A182JPX3	unreviewed	A0A182JPX3_9DIPT	Secreted protein		Anopheles christyi	397								
vectorbase:ASIS018211	A0A084W9A8	unreviewed	A0A084W9A8_ANOSI	AB hydrolase-1 domain-containing protein (AGAP011970-PA-like protein)	ZHAS_00014808	Anopheles sinensis (Mosquito)	298								
vectorbase:ASIS018211	A0A084W9B0	unreviewed	A0A084W9B0_ANOSI	AGAP011972-PA-like protein	ZHAS_00014810	Anopheles sinensis (Mosquito)	235			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824			
vectorbase:AFUN010292	A0A182RVI2	unreviewed	A0A182RVI2_ANOFN	Peptidase S1 domain-containing protein		Anopheles funestus (African malaria mosquito)	396	proteolysis [GO:0006508]		serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0006508			
vectorbase:AMIN008592	A0A182WDZ7	unreviewed	A0A182WDZ7_9DIPT	Peptidase S1 domain-containing protein		Anopheles minimus	396	proteolysis [GO:0006508]		serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0006508			
vectorbase:AFAF011946	A0A182QK95	unreviewed	A0A182QK95_9DIPT	Peptidase S1 domain-containing protein		Anopheles farauti	396	proteolysis [GO:0006508]		serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0006508			
vectorbase:ACHR006022	A0A182K5I7	unreviewed	A0A182K5I7_9DIPT	Venom serine protease 34		Anopheles christyi	396	proteolysis [GO:0006508]		serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0006508			
vectorbase:AEPI008706	A0A182PP27	unreviewed	A0A182PP27_9DIPT	Venom serine protease 34		Anopheles epiroticus	396	proteolysis [GO:0006508]		serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0006508			
vectorbase:AFUN010291	A0A182RVI1	unreviewed	A0A182RVI1_ANOFN	Cub domain serine protease		Anopheles funestus (African malaria mosquito)	396	proteolysis [GO:0006508]		serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0006508			
vectorbase:AMIN008593	A0A182WDZ8	unreviewed	A0A182WDZ8_9DIPT	Cub domain serine protease		Anopheles minimus	396	proteolysis [GO:0006508]		serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0006508			
vectorbase:AFAF000509	A0A182Q0A3	unreviewed	A0A182Q0A3_9DIPT	Venom serine protease 34		Anopheles farauti	396	proteolysis [GO:0006508]		serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0006508			
